Region	KKindex	KKx	KKy	Signal	LMpval	LMq	LMI	geometry
11:110780000-114760000	1	0.47657662362123926	0.663823373929029	-3.7506204405055246	0.09545809083818324	3	0.31905355689625536	POLYGON ((0.5270032969890356 0.7053265556734378, 0.5286499364216605 0.7033658454363502, 0.532275029166153 0.6980713604198016, 0.5353637158174024 0.692447048571493, 0.5378862506345091 0.6865470750890853, 0.5398183402282268 0.6804282599424676, 0.5411413775195804 0.6741495306663865, 0.541842620936208 0.6677713548560731, 0.5419153171206693 0.6613551578312464, 0.5413587659689679 0.6549627310767056, 0.5401783273729367 0.6486556371565526, 0.5383853696015487 0.642494616833047, 0.5359971598182728 0.6365390040998604, 0.5330366977888502 0.6308461547632823, 0.5295324943809774 0.6254708940744521, 0.5288706479786138 0.6246455384384776, 0.4701652972176382 0.6313213802210937, 0.4508520499847286 0.6483868402110962, 0.4491295639480894 0.659985545967361, 0.4698268344721487 0.6954212030184348, 0.5270099789569545 0.705346840227631, 0.5270032969890356 0.7053265556734378))
11:110780000-114760000	2	0.4389887880755732	0.6857776895942138	-3.7506204405055246	0.0042999140017199655	3	0.5034214801519906	POLYGON ((0.4698268344721487 0.6954212030184348, 0.4491295639480894 0.659985545967361, 0.4007385936025565 0.687700607704242, 0.3996379100439092 0.7087916791331679, 0.4355052729034948 0.7172858820006873, 0.4698268344721487 0.6954212030184348))
11:110780000-114760000	3	0.46553335131850615	0.7274453885526504	-3.7506204405055246	0.027959440811183775	3	0.5034214801519906	POLYGON ((0.4993964355456278 0.7833786388206679, 0.5047904269314856 0.7797341920696045, 0.5097952931258085 0.7755714466331206, 0.514361424740071 0.7709316646044819, 0.5184435612241367 0.7658608365737256, 0.522001239499276 0.76040922575832, 0.5249991950375377 0.7546308697825558, 0.5274077114118872 0.7485830450441449, 0.5292029148522885 0.7423256989773513, 0.5303670108880203 0.7359208558401904, 0.5308884607305765 0.7294320019156716, 0.5307620956487998 0.7229234562211133, 0.5299891682025379 0.7164597329632023, 0.5285773398269813 0.7101049020582909, 0.5270099789569545 0.705346840227631, 0.4698268344721487 0.6954212030184348, 0.4355052729034948 0.7172858820006873, 0.4561925384264235 0.7606872716027275, 0.4991591860110988 0.7835065884542504, 0.4993964355456278 0.7833786388206679))
11:110780000-114760000	4	0.42448763367967624	0.7470098234050708	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.4355052729034948 0.7172858820006873, 0.3996379100439092 0.7087916791331679, 0.3892006452632039 0.7186507779583753, 0.3888008656969828 0.7196594360750377, 0.3979660505912866 0.774352125129325, 0.4561925384264235 0.7606872716027275, 0.4355052729034948 0.7172858820006873))
11:110780000-114760000	5	0.4338823808379704	0.7870412170868156	-3.7506204405055246	0.06713865722685547	3	0.5034214801519906	POLYGON ((0.4778913462690971 0.8353987182691525, 0.4823516610550331 0.8309270443452561, 0.4863597312126532 0.8260458918908772, 0.4898781592772009 0.8208008047013352, 0.4928741164097666 0.8152407222800826, 0.4953196487081303 0.809417523206639, 0.4971919380318046 0.8033855410813546, 0.4984735149076409 0.7972010575635, 0.4991524215294726 0.7909217772329106, 0.4992223233309214 0.784606289175013, 0.4991293766537154 0.7835226647612581, 0.4991591860110988 0.7835065884542504, 0.4561925384264235 0.7606872716027275, 0.3979660505912866 0.774352125129325, 0.3974897383556885 0.7754659935208854, 0.4637474917205255 0.8482706903659724, 0.4778913462690971 0.8353987182691525))
11:110780000-114760000	6	0.4055946717408272	0.8127851612804553	-3.7506204405055246	0.04341913161736765	3	0.5034214801519906	POLYGON ((0.4347846118847295 0.8712931466611982, 0.440028573509478 0.8683688222601418, 0.4449821722960121 0.8649757903141537, 0.4496036371719539 0.8611426624627921, 0.4637474917205255 0.8482706903659724, 0.3974897383556885 0.7754659935208854, 0.3742648268581319 0.7928379705739872, 0.4176671669946252 0.8798331295115245, 0.4347846118847295 0.8712931466611982))
11:110780000-114760000	7	0.3713597819606187	0.829865126981108	-3.7506204405055246	0.028039439211215777	3	0.5034214801519906	POLYGON ((0.3674790235240864 0.8951351558831631, 0.3743040428444456 0.895184100386741, 0.3810969812899699 0.8945213247361439, 0.387783822522899 0.8931540505817381, 0.394291706248205 0.8910971758394161, 0.400549722104521 0.8883731123618509, 0.4176671669946252 0.8798331295115245, 0.3742648268581319 0.7928379705739872, 0.3635838946695342 0.7939219885628183, 0.3540962636812448 0.8025196331885279, 0.348656166202286 0.8940160057375298, 0.3674790235240864 0.8951351558831631))
11:110780000-114760000	8	0.3337140673170178	0.8276268266898416	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.3096441197290786 0.8883678413622222, 0.3107482739354017 0.8888461806007637, 0.3169643334561854 0.8908303343022289, 0.3233472003521113 0.8921850564382613, 0.3298333088804855 0.8928968555918966, 0.348656166202286 0.8940160057375298, 0.3540962636812448 0.8025196331885279, 0.2936682088161325 0.8094210029514525, 0.2900050897943278 0.8414141254875317, 0.3096438414741761 0.8883685588149608, 0.3096441197290786 0.8883678413622222))
11:110780000-114760000	9	0.32857788364602253	0.7826546545950261	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.3540962636812448 0.8025196331885279, 0.3635838946695342 0.7939219885628183, 0.3301191225295021 0.7474719061433641, 0.2965293389555018 0.7397663386775353, 0.2780031022144215 0.7727487337010032, 0.2780347978442928 0.7750074130032423, 0.2936682088161325 0.8094210029514525, 0.3540962636812448 0.8025196331885279))
11:110780000-114760000	10	0.36397980233509264	0.7571494868850654	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.3888008656969828 0.7196594360750377, 0.3301191225295021 0.7474719061433641, 0.3635838946695342 0.7939219885628183, 0.3742648268581319 0.7928379705739872, 0.3974897383556885 0.7754659935208854, 0.3979660505912866 0.774352125129325, 0.3888008656969828 0.7196594360750377))
11:110780000-114760000	11	0.3440669754348245	0.715135261214733	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.3888008656969828 0.7196594360750377, 0.3892006452632039 0.7186507779583753, 0.3163119935860974 0.6774715468905537, 0.2931148181951256 0.7138381779583803, 0.2922831075963448 0.7178962668820879, 0.2965293389555018 0.7397663386775353, 0.3301191225295021 0.7474719061433641, 0.3888008656969828 0.7196594360750377))
11:110780000-114760000	12	0.3628963404013252	0.6818066392673251	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.3996379100439092 0.7087916791331679, 0.4007385936025565 0.687700607704242, 0.3923127635703599 0.6687186703462169, 0.3211755688802846 0.6444733242831725, 0.3163119935860974 0.6774715468905537, 0.3892006452632039 0.7186507779583753, 0.3996379100439092 0.7087916791331679))
11:110780000-114760000	13	0.3770121677943716	0.6403900160993342	-3.7506204405055246	0.005279894402111958	3	0.4093892595381797	POLYGON ((0.3151227325861687 0.6192965391804505, 0.3148315946890034 0.6201507539736093, 0.3211755688802846 0.6444733242831725, 0.3923127635703599 0.6687186703462169, 0.4066378069510014 0.6268067186617099, 0.4022736546613884 0.6129528452593414, 0.3909326848424434 0.6064194042668207, 0.316306645999916 0.6163089664692416, 0.3163073150501754 0.6163098729107802, 0.3151227325861687 0.6192965391804505))
11:110780000-114760000	14	0.4217517394795384	0.6556815088469327	-3.7506204405055246	0.0066398672026559465	3	0.4050919210822652	POLYGON ((0.4491295639480894 0.659985545967361, 0.4508520499847286 0.6483868402110962, 0.4066378069510014 0.6268067186617099, 0.3923127635703599 0.6687186703462169, 0.4007385936025565 0.687700607704242, 0.4491295639480894 0.659985545967361))
11:110780000-114760000	15	0.4386998130777712	0.6209575966895858	-3.7506204405055246	0.0060998780024399514	3	0.4050919210822652	POLYGON ((0.4701652972176382 0.6313213802210937, 0.440015173317741 0.5910087262249726, 0.4022736546613884 0.6129528452593414, 0.4066378069510014 0.6268067186617099, 0.4508520499847286 0.6483868402110962, 0.4701652972176382 0.6313213802210937))
11:110780000-114760000	16	0.4691151851153538	0.5982097211594155	-3.7506204405055246	0.03247935041299174	3	0.36933571778418317	POLYGON ((0.5288634784222895 0.6246365976423978, 0.5307672110554347 0.619987339403875, 0.5375109438798056 0.6008959591457576, 0.4481302436212802 0.569323618432341, 0.440015173317741 0.5910087262249726, 0.4701652972176382 0.6313213802210937, 0.5288706479786138 0.6246455384384776, 0.5288634784222895 0.6246365976423978))
